Elephant_seal_ID,Sex,ProcedureDate,ForagingBloodPairedSubset,ForagingHairPairedSubset,ForagingMusclePairedSubset,FastingBloodPairedSubset,FastingHairPairedSubset,FastingMusclePairedSubset,Foraging_Trip,TimePeriod_Cross_Foraging_Analysis,Fasting_Period,TimePeriod_Cross_Fasting_Analysis,Mass_Procedure_kg,Standard_Length_cm,Blood_THg_ppm_ww,Muscle_THg_ppm_dw,Hair_THg_ppm_dw
2024,Female,5/2/12,Yes,Yes,No,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,390,257,0.58,NA,10.63
6379,Male,7/7/12,Yes,Yes,No,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,NA,386,0.34,NA,4.47
6384,Male,7/7/12,Yes,Yes,No,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,NA,380,0.76,NA,9.77
R382,Female,4/30/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,445,289,0.63,7.23,16.25
T693,Female,5/15/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,392,261,0.34,3.94,13.9
T750,Female,4/17/12,Yes,Yes,No,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,431,279,0.56,NA,14.27
U142,Female,4/24/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,401,256,0.27,4.54,10.9
U155,Female,4/15/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,442,258,0.2,3.73,11.99
U20,Female,5/12/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,345,264,0.37,3.94,7.62
U239,Female,5/2/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,401,260,0.45,6.95,19.2
U444,Female,4/22/12,Yes,Yes,No,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,368,260,0.3,NA,13.58
U479,Female,4/9/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,401,256,0.46,5.75,18.68
U604,Female,3/26/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,462,256,0.4,5.86,13.68
U605,Female,4/17/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,339,247,0.54,6.04,9.74
U627,Female,5/9/12,Yes,Yes,No,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,386,252,0.26,NA,6.97
U641,Female,3/30/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,409,266,0.52,6.86,10.12
U756,Female,5/8/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,366,255,0.3,4.93,14.68
U849,Female,5/31/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,324,258,0.54,7.51,14.43
U954,Female,4/17/12,Yes,Yes,Yes,No,No,No,Post-breeding foraging trip,Post-foraging,NA,NA,334,242,0.6,8.79,19.05
