Elephant_seal_ID,Sex,ProcedureDate,ForagingBloodPairedSubset,ForagingHairPairedSubset,ForagingMusclePairedSubset,FastingBloodPairedSubset,FastingHairPairedSubset,FastingMusclePairedSubset,Foraging_Trip,TimePeriod_Cross_Foraging_Analysis,Fasting_Period,TimePeriod_Cross_Fasting_Analysis,Mass_Procedure_kg,Standard_Length_cm,Blood_THg_ppm_ww,Muscle_THg_ppm_dw,Hair_THg_ppm_dw
U398,Female,2/3/13,Yes,Yes,Yes,Yes,Yes,Yes,Post-molt foraging trip,Post-foraging,Breeding,Early Fasting,465,252,0.26,3.76,14.91
U458,Female,1/15/13,Yes,Yes,Yes,Yes,Yes,Yes,Post-molt foraging trip,Post-foraging,Breeding,Early Fasting,422,252,0.32,4.59,10.16
U604,Female,1/5/13,No,No,No,Yes,Yes,Yes,NA,NA,Breeding,Early Fasting,505,269,0.32,4.28,19.73
U754,Female,1/22/13,Yes,Yes,Yes,Yes,Yes,Yes,Post-molt foraging trip,Post-foraging,Breeding,Early Fasting,484,272,0.3,4.52,20.22
U848,Female,1/9/13,Yes,Yes,No,Yes,Yes,Yes,Post-molt foraging trip,Post-foraging,Breeding,Early Fasting,519,285,0.43,NA,15.76
U888,Female,1/22/13,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,477,253,0.32,5.66,19.69
WX311,Female,1/8/13,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,555,282,0.33,4.48,16.86
WX540,Female,1/24/13,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,475,274,0.34,5.03,13.23
X106,Female,1/29/13,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,467,267,0.39,4.68,17.25
X258,Female,1/22/13,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,484,268,0.17,1.9,7.46
X262,Female,12/3/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,441,278,0.27,3.37,13.05
X349,Female,1/27/13,No,No,No,Yes,Yes,Yes,NA,NA,Breeding,Early Fasting,456,265,0.39,4.18,16.04
Y1074,Female,1/28/13,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Post-foraging,NA,NA,401,272,0.21,5.13,15.5
3243,Female,5/18/12,Yes,Yes,No,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,310,265,0.58,NA,16.71
6491,Male,7/22/12,Yes,Yes,No,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,NA,384,0.91,5.28,66.69
S126,Female,5/27/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,354,285,0.56,7.41,26.05
T42,Female,5/16/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,266,252,0.5,4.97,13.81
U203,Female,5/22/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,380,278,0.3,2.71,6.1
U274,Female,6/2/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,296,263,0.65,6.34,23.48
U398,Female,6/3/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,291,256,0.46,4,16.95
U458,Female,5/25/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,242,240,0.63,4.94,13.88
U754,Female,5/21/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,299,260,0.5,5.4,25.64
U848,Female,5/17/12,Yes,Yes,No,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,337,262,0.58,NA,17.3
U888,Female,5/28/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,298,258,0.62,3.94,19.57
WX311,Female,5/14/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,367,274,0.6,5.28,12.46
WX540,Female,6/1/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,290,251,0.57,5.21,7.96
X106,Female,5/23/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,298,258,0.43,8.15,25.25
X258,Female,5/29/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,302,258,0.31,2.88,12.43
X262,Female,6/5/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,324,265,0.36,3.19,17.62
Y1074,Female,6/4/12,Yes,Yes,Yes,No,No,No,Post-molt foraging trip,Pre-foraging,NA,NA,266,250,0.43,4.42,19.05
1317,Female,5/14/13,No,No,No,Yes,Yes,Yes,NA,NA,Molting,Last fasting,316,274,0.55,4.58,23.25
4534,Female,6/6/13,No,No,No,Yes,Yes,Yes,NA,NA,Molting,Last fasting,267,257,0.39,3.97,20.59
O18129,Female,6/1/13,No,No,No,Yes,Yes,Yes,NA,NA,Molting,Last fasting,332,272,0.58,4.37,22.41
T379,Female,6/2/13,No,No,No,Yes,Yes,Yes,NA,NA,Molting,Last fasting,306,258,0.66,6.58,18.58
U256,Female,5/19/13,No,No,No,Yes,Yes,Yes,NA,NA,Molting,Last fasting,324,268,0.72,6.25,30.78
U481,Female,6/19/13,No,No,No,Yes,Yes,Yes,NA,NA,Molting,Last fasting,264,247,0.29,3.45,10.41
U848,Female,5/26/13,No,No,No,Yes,Yes,Yes,NA,NA,Molting,Last fasting,325,273,0.69,6.52,28.39
X349,Female,6/10/13,No,No,No,Yes,Yes,Yes,NA,NA,Molting,Last fasting,257,263,0.49,5.17,24.69
X387,Female,6/9/13,No,No,No,Yes,Yes,Yes,NA,NA,Molting,Last fasting,259,265,0.44,4.36,10.59
